method,instance,n_customers,n_vehicles,total_cost,execution_time_seconds
Savings Heuristic,Instance 1,100,29,31106.0,0.06793451309204102
Savings Heuristic,Instance 2,203,36,38844.0,0.18716120719909668
Savings Heuristic,Instance 3,302,60,55010.0,0.5213592052459717
Savings Heuristic,Instance 4,400,72,147071.0,1.6179745197296143
Savings Heuristic,Instance 5,501,96,165598.0,2.177840232849121
Savings Heuristic,Instance 6,612,121,117089.0,3.2976105213165283
Savings Heuristic,Instance 7,700,102,188384.0,5.014630317687988
Savings Heuristic,Instance 8,800,126,227154.0,6.830170154571533
Regret Insertion Heuristic,Instance 9,100,27,43225.0,3.488079309463501
Regret Insertion Heuristic,Instance 10,203,19,34721.0,31.506624937057495
Regret Insertion Heuristic,Instance 11,302,21,49928.0,23.429083824157715
Regret Insertion Heuristic,Instance 12,400,29,83930.0,34.504058837890625
Regret Insertion Heuristic,Instance 13,501,39,95364.0,67.37942934036255
Regret Insertion Heuristic,Instance 14,612,62,91291.0,129.59555768966675
Regret Insertion Heuristic,Instance 15,700,44,123255.0,178.99572777748108
Regret Insertion Heuristic,Instance 16,800,40,119506.0,289.9800977706909
Sweep Algorithm,Instance 17,100,30,36177.0,0.0003597736358642578
Sweep Algorithm,Instance 18,203,19,41421.0,0.00018453598022460938
Sweep Algorithm,Instance 19,302,22,51478.0,0.0002834796905517578
Sweep Algorithm,Instance 20,400,30,134613.0,0.0003154277801513672
Sweep Algorithm,Instance 21,501,39,105831.0,0.0005135536193847656
Sweep Algorithm,Instance 22,612,66,129122.0,0.0004930496215820312
Sweep Algorithm,Instance 23,700,46,238910.0,0.0009369850158691406
Sweep Algorithm,Instance 24,800,40,296190.0,0.0007805824279785156
